lastname,quantile
YILMAZ,0.015267497361390932
KAYA,0.025781214422902557
DEMIR,0.03571676583147234
SAHIN,0.044428170564522466
CELIK,0.05301703211068462
YILDIZ,0.06140570337111788
YILDIRIM,0.06969699981463227
OZTURK,0.07743607009119004
AYDIN,0.08512253311953999
OZDEMIR,0.0922302949977147
ARSLAN,0.09855091878259116
DOGAN,0.1045759266747494
KILIC,0.10988561736255104
CETIN,0.11435558412873593
ASLAN,0.11881424119335172
KARA,0.1224640832366618
KOC,0.1260620034682228
KURT,0.129528962496387
OZKAN,0.13289629761925212
ACAR,0.1360999847875946
OZCAN,0.13925993254191413
SIMSEK,0.14241255469408093
CAKIR,0.1455308193437537
KORKMAZ,0.14861718977820604
ERDOGAN,0.15169443533980148
YAVUZ,0.1546833881175563
CAN,0.15767225521575376
SEN,0.16062569381699043
POLAT,0.1635770118491829
YALCIN,0.16642718516393348
GULER,0.16926581315833228
AKTAS,0.17203062821408116
GUNES,0.17464199118263107
BULUT,0.17722540119559824
UNAL,0.1797936887666946
KESKIN,0.18235073089588988
ISIK,0.18488305447279205
BOZKURT,0.18740685293373874
AVCI,0.18990267701921335
TURAN,0.19239428138648887
COSKUN,0.19487286246104846
GUL,0.19731498688395915
OZER,0.1997366338926652
SARI,0.20212244542651306
KAPLAN,0.2043804873204751
YUKSEL,0.20661554567318022
KOSE,0.20881491849025252
TEKIN,0.21098605989318073
AKSOY,0.21310829968875616
ATES,0.2152266196445832
TAS,0.21732354113096417
UZUN,0.219409088656108
YIGIT,0.2214378948944023
CEYLAN,0.2234595683095479
KARATAS,0.22548002079100138
KARACA,0.2274750907035924
CALISKAN,0.22943031962201949
COBAN,0.231365585203586
DEMIRCI,0.23324141059224665
CICEK,0.2350958160915719
GUNGOR,0.23691380777902693
CAKMAK,0.23873143532836327
BAYRAM,0.2405454429164019
YASAR,0.24235439541055737
UYSAL,0.24415758595448162
DENIZ,0.24594880278026737
CIFTCI,0.24773556426907134
UCAR,0.24947972159798715
ERDEM,0.2512181812363397
KAHRAMAN,0.25294220386928024
GENC,0.2546621138834683
DUMAN,0.25637707590321995
CINAR,0.2580817777959799
AKIN,0.25976379602593364
SONMEZ,0.2613979836430014
DEMIREL,0.2630244815197977
KUCUK,0.26463330798789225
MUTLU,0.2662358155886329
AY,0.2678375306534681
YAMAN,0.26943688953047645
KILINC,0.2710343848771126
CETINKAYA,0.27262251973210916
KOCAK,0.2742006086590074
GUMUS,0.2757707936467409
GUNDUZ,0.27728325203271537
OZ,0.2787677360432178
ALTUN,0.280246522363157
EREN,0.2816964132523827
COLAK,0.2831391927383491
GUVEN,0.28456078795376266
DONMEZ,0.28598139785426685
KARAKAYA,0.2873875921692483
TUNC,0.28878082745118183
AYDEMIR,0.29017157802595245
GOK,0.2915501406836912
KARAMAN,0.29292135631938787
EROL,0.2942897659495816
OZEN,0.2956570403256406
BALCI,0.2970024664145774
KARTAL,0.29834570767480206
TOSUN,0.2996878779405599
AKSU,0.30102135173124756
ALKAN,0.302349063571704
SAGLAM,0.3036696854287904
CEVIK,0.3049370788608783
TURK,0.3061975750886002
INCE,0.3074519452279721
DURAN,0.3087056299308853
KARAKUS,0.30995685134652495
CENGIZ,0.31119886220975035
BAS,0.3124405517746357
GUZEL,0.3136766293285152
KELES,0.3149097723575557
KARABULUT,0.31613211976237116
AKKAYA,0.3173529035152652
AKBAS,0.31857210219634835
EROGLU,0.3197829257007013
DURMUS,0.3209884584923885
USLU,0.3221868370410376
AKGUN,0.32338033185491827
AKBULUT,0.3245583400888094
DEMIRTAS,0.3257354701072378
YUCEL,0.32690058356774904
YAZICI,0.3280614344702825
DURMAZ,0.3292182584336209
AYDOGAN,0.3303721692920097
OZCELIK,0.3315192257858111
DURSUN,0.33266270515809354
UNLU,0.3338021575911809
ER,0.334938075742528
CELEBI,0.33605133165095813
KARAGOZ,0.3371641377417122
KOCA,0.33826417757842236
AKGUL,0.3393425190672358
TURKMEN,0.3404148201472566
KARAKAS,0.34148564325491326
GURBUZ,0.3425549027106484
TOPAL,0.3436214846802167
TOPCU,0.34468656725753144
DINC,0.34574952926580205
SENTURK,0.3468106277437004
GULTEKIN,0.3478479715643258
VURAL,0.34885944015863396
EKINCI,0.3498703946755981
OZMEN,0.35088104931411157
SARIKAYA,0.3518874628145366
ERGUN,0.35289224840337213
DAG,0.353896798373425
BILGIN,0.354899699011999
TOPRAK,0.35590251397101574
ZENGIN,0.3568967823941876
SEZER,0.3578900869223393
GOKCE,0.3588820634173523
BAL,0.3598675496858966
GUNDOGDU,0.3608517507610808
BEKTAS,0.36182914031145635
GUNEY,0.3628062299833812
AKYOL,0.363779806793455
GUNER,0.36475194847094333
ILHAN,0.36572383310975964
ALBAYRAK,0.366688692024874
FIDAN,0.3676467179952903
SEKER,0.3686033730927891
TURGUT,0.3695435348754997
AYDOGDU,0.3704830969013089
BAYRAK,0.3714183106895829
OGUZ,0.3723504400137927
OZEL,0.37327717152588996
INAN,0.3742003473363575
AKAR,0.3751222807932436
AK,0.3760404443496067
